"Año","Actividad","Sector","Tipo de precios","Código Departamento (DIVIPOLA)","Departamento","Valor (miles de millones de pesos)"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","68","Santander","2,011.71"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","70","Sucre","230.76"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","73","Tolima","558.99"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","76","Valle del Cauca","2,200.06"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","97","Vaupés","13.02"
"2,005","Construcción","Secundario","PIB a precios constantes de 2015","99","Vichada","20.18"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","91","Amazonas","104.81"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","5","Antioquia","11,398.07"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","81","Arauca","333.89"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","8","Atlántico","4,857.02"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","11","Bogotá D.C.","23,915.21"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","13","Bolívar","3,212.38"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","15","Boyacá","2,718.79"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","17","Caldas","1,520.32"
