Año,Actividad,Sector,Tipo de precios,Código Departamento (DIVIPOLA),Departamento,Valor (miles de millones de pesos),Valor_winsorizado,Actividad_abreviada
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,97,Vaupés,0.65,0.7100999999999998,"Electricidad, agua y saneamiento"
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,99,Vichada,2.16,2.16,"Electricidad, agua y saneamiento"
2005,Construcción,Secundario,PIB a precios constantes de 2015,91,Amazonas,10.26,10.26,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,5,Antioquia,3764.41,3764.41,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,81,Arauca,128.0,128.0,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,8,Atlántico,619.13,619.13,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,11,Bogotá D.C.,7967.98,7967.98,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,13,Bolívar,702.86,702.86,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,15,Boyacá,640.0,640.0,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,17,Caldas,352.44,352.44,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,18,Caquetá,88.52,88.52,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,85,Casanare,331.66,331.66,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,19,Cauca,276.92,276.92,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,20,Cesar,422.67,422.67,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,27,Chocó,105.95,105.95,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,23,Córdoba,713.33,713.33,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,25,Cundinamarca,852.16,852.16,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,94,Guainía,34.95,34.95,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,95,Guaviare,43.11,43.11,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,41,Huila,861.43,861.43,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,44,La Guajira,249.07,249.07,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,47,Magdalena,647.91,647.91,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,50,Meta,680.52,680.52,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,52,Nariño,611.85,611.85,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,54,Norte de Santander,391.6,391.6,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,86,Putumayo,90.51,90.51,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,63,Quindío,262.67,262.67,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,66,Risaralda,1054.53,1054.53,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",13.12,13.12,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,68,Santander,2011.71,2011.71,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,70,Sucre,230.76,230.76,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,73,Tolima,558.99,558.99,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,76,Valle del Cauca,2200.06,2200.06,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,97,Vaupés,13.02,13.02,Construcción
2005,Construcción,Secundario,PIB a precios constantes de 2015,99,Vichada,20.18,20.18,Construcción
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,91,Amazonas,104.81,104.81,"Comercio, transporte y turismo"
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,5,Antioquia,11398.07,11398.07,"Comercio, transporte y turismo"
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,81,Arauca,333.89,333.89,"Comercio, transporte y turismo"
